10/28/20 22:36:52 created socket 4
10/28/20 22:36:57 accepted client 5
10/28/20 22:36:57 read client 5
10/28/20 22:36:57 transformed socket 5
10/28/20 22:36:57 handling directory request
10/28/20 22:36:57 wrote client 5
10/28/20 22:36:57 disconnected socket 5
10/28/20 22:36:57 accepted client 5
10/28/20 22:36:57 read client 5
10/28/20 22:36:57 transformed socket 5
10/28/20 22:36:57 wrote client 5
10/28/20 22:36:57 disconnected socket 5
10/28/20 22:36:57 accepted client 5
10/28/20 22:36:57 read client 5
10/28/20 22:36:57 transformed socket 5
10/28/20 22:36:57 wrote client 5
10/28/20 22:36:57 disconnected socket 5
10/28/20 22:36:57 accepted client 5
10/28/20 22:36:57 read client 5
10/28/20 22:36:57 transformed socket 5
10/28/20 22:36:57 handling directory request
10/28/20 22:36:57 wrote client 5
10/28/20 22:36:57 disconnected socket 5
10/28/20 22:36:57 accepted client 5
10/28/20 22:36:57 read client 5
10/28/20 22:36:57 transformed socket 5
10/28/20 22:36:57 handling file request
10/28/20 22:36:57 wrote client 5
10/28/20 22:36:57 disconnected socket 5
10/28/20 22:36:57 accepted client 5
10/28/20 22:36:57 read client 5
10/28/20 22:36:57 transformed socket 5
10/28/20 22:36:57 handling CGI request
10/28/20 22:36:57 wrote client 5
10/28/20 22:36:57 disconnected socket 5
